;Razón Social;Marca;Importe;Fecha;Provincia;CC.AA.
0;LETS COOK, S.L.;Let's cook;50.000,00 €;04/02/2021;Barcelona;Cataluña
1;MEEP MOBILITY, S.L.;gomeep;68.000,00 €;04/02/2021;Barcelona;Cataluña
2;BYTELAB SOLUTIONS, S.L.;NEXTMOL;44.000,00 €;04/02/2021;Barcelona;Cataluña
3;THE NEEDO, S.L.;THE NEEDO;33.000,00 €;25/01/2021;Madrid;Madrid, Comunidad de
4;INHIBITEC ANTICUERPOS, S.L.;INHIBITEC;65.000,00 €;22/01/2021;Cantabria;Cantabria
5;VIRTUAL WEB AGROFRAME, S.L.;ENCANTADO DE COMERTE;67.000,00 €;22/01/2021;Zaragoza;Aragón
6;THE WAKE UP MOVEMENT, S.L.;The Wum;68.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de
7;HERIS MEDTECH, S.L.;Heris;67.000,00 €;14/01/2021;Madrid;Madrid, Comunidad de
8;HINSOMNIA GLOBAL, S.L.;Hinsomnia;68.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de
9;CULTIPLY, S.L.;CULTIPLY;40.000,00 €;21/12/2020;Sevilla;Andalucía
10;TWENIX PLATFORM, S.L.;Twenix;225.000,00 €;04/02/2021;Almería;Andalucía
11;ETHICAL PIECES, S.L.;Mimoke;75.000,00 €;04/02/2021;Barcelona;Cataluña
12;DAIL SOFTWARE, S.L.;DAIL;100.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de
13;COPY PRINT SERVICIOS DE REPROGRAFIA, S.L.;Copy Print;207.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de
14;COMUNICACIONES GOLBER, S.L.;Noysi;225.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de
15;PENINSULA CORPORATE INNOVATION, S.L.U.;Peninsula;204.000,00 €;03/02/2021;Barcelona;Cataluña
16;CODED PEOPLE, S.L.;Coded People;110.000,00 €;03/02/2021;Barcelona;Cataluña
17;BARNIZADOS INDUSTRIALES, S.A.;BARINSA;300.000,00 €;01/02/2021;Tarragona;Cataluña
18;MY STAGE MANAGER, S.L.;My Stage Manager;45.000,00 €;28/01/2021;Barcelona;Cataluña
19;WIN LIFE ELECTRIC VEHICLES, S.L.;Win Life;210.000,00 €;28/01/2021;Barcelona;Cataluña
20;VS INGENIERÍA DE SOFTWARE EMPRESARIAL, S.L.;GRUPO VS;118.000,00 €;27/01/2021;Valencia/València;Comunitat Valenciana
21;YOLEO EDUTAINMENT, S.L.;YOLEO;58.000,00 €;27/01/2021;Barcelona;Cataluña
22;KNOWLEDGEFY TECHNOLOGIES, S.L.;KNOWLEDGEFY;208.000,00 €;26/01/2021;Málaga;Andalucía
23;BLOOMING EXPERIENCE, S.L.;Blooming;727.000,00 €;26/01/2021;Valencia/València;Comunitat Valenciana
24;NOGEBUS, S.L.;NOGEBUS;275.000,00 €;25/01/2021;Girona;Cataluña
25;WOLO REALTECH, S.L.;WOLORENT;195.000,00 €;25/01/2021;Barcelona;Cataluña
26;IGLUCO TECH, S.L.;SleepControl;180.000,00 €;22/01/2021;Sevilla;Andalucía
27;YUKAR DIGITAL, S.L.;Cleer;180.000,00 €;22/01/2021;Barcelona;Cataluña
28;SMARTFINCAS, S.L.;Smartfincas;75.000,00 €;22/01/2021;Barcelona;Cataluña
29;ORDATIC, S.L.;ORDATIC;100.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana
30;GAYCON FISCAL, S.L.;GAYCON;300.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de
31;IDENCITV ASESORIA DE CIUDADES, S.L.;IDENCITY;224.000,00 €;20/01/2021;Barcelona;Cataluña
32;MIMOTO PARKING, S.L.;MIMOTO PARKING;125.000,00 €;20/01/2021;Madrid;Madrid, Comunidad de
33;ZANKYOU VENTURES, S.L.;Zankyou Weddings;300.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de
34;GENIUS EMOBILITY SYSTEMS, S.L.;Mooevo;200.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de
35;CHATARRAS Y METALES JUMILLA, S.L.U.;CHATARRAS JUMILLA;120.000,00 €;19/01/2021;Murcia;Murcia, Región de
36;IOMED MEDICAL SOLUTIONS, S.L.;IOMED;200.000,00 €;19/01/2021;Barcelona;Cataluña
37;PREMIUMGUEST, S.L.;Premium Guest;84.000,00 €;18/01/2021;Barcelona;Cataluña
38;MOONSHOT INNOVATION, S.L.;Moonshot;85.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de
39;ADJUSTICA ROBOTICS, S.L.U.;Ntente;44.000,00 €;15/01/2021;Pontevedra;Galicia
40;BIO UNICORN, S.L.;Aldous Bio;162.000,00 €;14/01/2021;Cuenca;Castilla - La Mancha
41;PROTECHTEDBAGS, S.L.;Bag on Board;500.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de
42;AFEEDME, S.L.;AFEEDME;152.000,00 €;07/01/2021;Huelva;Andalucía
43;ESTO ES COMER, S.L.;ESTO ES, COMER COMER;138.000,00 €;23/12/2020;Madrid;Madrid, Comunidad de
44;TWELVE OAKS PICTURES SL (ANTERIOR FRIKI FILMS), S.L.;TWELVE OAKS PICTURES;145.000,00 €;22/12/2020;Barcelona;Cataluña
45;TUCUVI CARE, S.L.;Tucuvi;130.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de
46;EMPLOYEES ASSISTANCE PROGRAMMMES IBERIA, S.L.;Yees;50.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de
47;BYLD STARTUPS, S.L.;SONAR CORPORATE BUILDING;137.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de
48;BIO FRUIT FARMERS, S.L.;BIOFRUIT;210.000,00 €;22/12/2020;Asturias;Asturias, Principado de
49;SERVICIOS LOGÍSTICOS WANATRUCK, S.L.;Wanatruck;144.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de
