;Unnamed: 0;Unnamed: 0.1;Razón Social;Marca;Importe;Fecha;Provincia;CCAA;CIF
0;0;0;LETS COOK, S.L.;Let's cook;50.000,00 €;04/02/2021;Barcelona;Cataluña;B67476051
1;1;1;MEEP MOBILITY, S.L.;gomeep;68.000,00 €;04/02/2021;Barcelona;Cataluña;B67428623
2;2;2;BYTELAB SOLUTIONS, S.L.;NEXTMOL;44.000,00 €;04/02/2021;Barcelona;Cataluña;B67405589
3;3;3;THE NEEDO, S.L.;THE NEEDO;33.000,00 €;25/01/2021;Madrid;Madrid, Comunidad de;B81363475
4;4;4;INHIBITEC ANTICUERPOS, S.L.;INHIBITEC;65.000,00 €;22/01/2021;Cantabria;Cantabria;B39875489
5;5;5;VIRTUAL WEB AGROFRAME, S.L.;ENCANTADO DE COMERTE;67.000,00 €;22/01/2021;Zaragoza;Aragón;B99537706
6;6;6;THE WAKE UP MOVEMENT, S.L.;The Wum;68.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de;B88511373
7;7;7;HERIS MEDTECH, S.L.;Heris;67.000,00 €;14/01/2021;Madrid;Madrid, Comunidad de;B88583406
8;8;8;HINSOMNIA GLOBAL, S.L.;Hinsomnia;68.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B88531736
9;9;9;CULTIPLY, S.L.;CULTIPLY;40.000,00 €;21/12/2020;Sevilla;Andalucía;B90486010
10;10;10;TWENIX PLATFORM, S.L.;Twenix;225.000,00 €;04/02/2021;Almería;Andalucía;B04890869
11;11;11;ETHICAL PIECES, S.L.;Mimoke;75.000,00 €;04/02/2021;Barcelona;Cataluña;B67372938
12;12;12;DAIL SOFTWARE, S.L.;DAIL;100.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B86642030
13;13;13;COPY PRINT SERVICIOS DE REPROGRAFIA, S.L.;Copy Print;207.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B82072828
14;14;14;COMUNICACIONES GOLBER, S.L.;Noysi;225.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B87286209
15;15;15;PENINSULA CORPORATE INNOVATION, S.L.U.;Peninsula;204.000,00 €;03/02/2021;Barcelona;Cataluña;
16;16;16;CODED PEOPLE, S.L.;Coded People;110.000,00 €;03/02/2021;Barcelona;Cataluña;B67147975
17;17;17;BARNIZADOS INDUSTRIALES, S.A.;BARINSA;300.000,00 €;01/02/2021;Tarragona;Cataluña;A43098383
18;18;18;MY STAGE MANAGER, S.L.;My Stage Manager;45.000,00 €;28/01/2021;Barcelona;Cataluña;B67487249
19;19;19;WIN LIFE ELECTRIC VEHICLES, S.L.;Win Life;210.000,00 €;28/01/2021;Barcelona;Cataluña;B67486639
20;20;20;VS INGENIERÍA DE SOFTWARE EMPRESARIAL, S.L.;GRUPO VS;118.000,00 €;27/01/2021;Valencia/València;Comunitat Valenciana;
21;21;21;YOLEO EDUTAINMENT, S.L.;YOLEO;58.000,00 €;27/01/2021;Barcelona;Cataluña;B66011040
22;22;22;KNOWLEDGEFY TECHNOLOGIES, S.L.;KNOWLEDGEFY;208.000,00 €;26/01/2021;Málaga;Andalucía;B93457547
23;23;23;BLOOMING EXPERIENCE, S.L.;Blooming;727.000,00 €;26/01/2021;Valencia/València;Comunitat Valenciana;B66823287
24;24;24;NOGEBUS, S.L.;NOGEBUS;275.000,00 €;25/01/2021;Girona;Cataluña;B55168439
25;25;25;WOLO REALTECH, S.L.;WOLORENT;195.000,00 €;25/01/2021;Barcelona;Cataluña;B67436600
26;26;26;IGLUCO TECH, S.L.;SleepControl;180.000,00 €;22/01/2021;Sevilla;Andalucía;
27;27;27;YUKAR DIGITAL, S.L.;Cleer;180.000,00 €;22/01/2021;Barcelona;Cataluña;B67559740
28;28;28;SMARTFINCAS, S.L.;Smartfincas;75.000,00 €;22/01/2021;Barcelona;Cataluña;B67373498
29;29;29;ORDATIC, S.L.;ORDATIC;100.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana;B40573883
30;30;30;GAYCON FISCAL, S.L.;GAYCON;300.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de;B84177351
31;31;31;IDENCITV ASESORIA DE CIUDADES, S.L.;IDENCITY;224.000,00 €;20/01/2021;Barcelona;Cataluña;
32;32;32;MIMOTO PARKING, S.L.;MIMOTO PARKING;125.000,00 €;20/01/2021;Madrid;Madrid, Comunidad de;B42588103
33;33;33;ZANKYOU VENTURES, S.L.;Zankyou Weddings;300.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B85337053
34;34;34;GENIUS EMOBILITY SYSTEMS, S.L.;Mooevo;200.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B88229968
35;35;35;CHATARRAS Y METALES JUMILLA, S.L.U.;CHATARRAS JUMILLA;120.000,00 €;19/01/2021;Murcia;Murcia, Región de;
36;36;36;IOMED MEDICAL SOLUTIONS, S.L.;IOMED;200.000,00 €;19/01/2021;Barcelona;Cataluña;B66774969
37;37;37;PREMIUMGUEST, S.L.;Premium Guest;84.000,00 €;18/01/2021;Barcelona;Cataluña;B67131839
38;38;38;MOONSHOT INNOVATION, S.L.;Moonshot;85.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de;B87902573
39;39;39;ADJUSTICA ROBOTICS, S.L.U.;Ntente;44.000,00 €;15/01/2021;Pontevedra;Galicia;
40;40;40;BIO UNICORN, S.L.;Aldous Bio;162.000,00 €;14/01/2021;Cuenca;Castilla - La Mancha;B16340218
41;41;41;PROTECHTEDBAGS, S.L.;Bag on Board;500.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87729349
42;42;42;AFEEDME, S.L.;AFEEDME;152.000,00 €;07/01/2021;Huelva;Andalucía;B21601729
43;43;43;ESTO ES COMER, S.L.;ESTO ES, COMER COMER;138.000,00 €;23/12/2020;Madrid;Madrid, Comunidad de;B88549449
44;44;44;TWELVE OAKS PICTURES SL (ANTERIOR FRIKI FILMS), S.L.;TWELVE OAKS PICTURES;145.000,00 €;22/12/2020;Barcelona;Cataluña;
45;45;45;TUCUVI CARE, S.L.;Tucuvi;130.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;B95969705
46;46;46;EMPLOYEES ASSISTANCE PROGRAMMMES IBERIA, S.L.;Yees;50.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;
47;47;47;BYLD STARTUPS, S.L.;SONAR CORPORATE BUILDING;137.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;B87817904
48;48;48;BIO FRUIT FARMERS, S.L.;BIOFRUIT;210.000,00 €;22/12/2020;Asturias;Asturias, Principado de;B71380067
49;49;49;SERVICIOS LOGÍSTICOS WANATRUCK, S.L.;Wanatruck;144.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;
50;50;50;B. CERO CONGELADOS 2011, S.L.;BAJO CERO;270.000,00 €;22/12/2020;Balears, Illes;Balears, Illes;B57945180
51;51;51;VALQUIETA, S.L.;LE ROOM SERVICE;300.000,00 €;22/12/2020;Sevilla;Andalucía;B90332479
52;52;52;NORA REAL FOOD, S.L.;NORA REAL FOOD;240.000,00 €;19/12/2020;Barcelona;Cataluña;
53;53;53;INSECTFIT, S.L.;InsectFit;123.000,00 €;19/12/2020;Valencia/València;Comunitat Valenciana;B98961246
54;54;54;ACCURE THERAPEUTICS, S.L.;IPROTEOS;200.000,00 €;06/06/2017;Barcelona;Cataluña;B67623421
55;55;55;DONEXT DIGITAL SOLUTIONS, S.L.;DONEXT;73.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B88410634
56;56;56;KIPLOC EUROPE, S.L.;KIPLOC;128.000,00 €;03/02/2021;Barcelona;Cataluña;B67549873
57;57;57;INGENIERIA SOCIAL, S.A.L.;INGENIERIA SOCIAL;125.000,00 €;29/01/2021;Barcelona;Cataluña;A64842800
58;58;58;DAWAKO MEDTECH, S.L.;DAWAKO;225.000,00 €;28/01/2021;Valencia/València;Comunitat Valenciana;B40514416
59;59;59;IRONCHIP TELCO, S.L.;IRONCHIP TELCO;200.000,00 €;27/01/2021;Bizkaia;País Vasco;B95880332
60;60;60;LA SIESTA TECHNOLOGIES, S.L.U.;La Siesta;30.000,00 €;26/01/2021;Alicante/Alacant;Comunitat Valenciana;
61;61;61;QUICKJUICE, S.L.;Quickjuice;180.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana;B16572521
62;62;62;TRATAMIENTO SUPERFICIAL ROBOTIZADO, S.L.;TSR Wind;240.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B85478311
63;63;63;FASTBASE SOLUTIONS, S.L.;FASTBASE;150.000,00 €;19/01/2021;Bizkaia;País Vasco;B95827903
64;64;64;3ANTS DEVELOPMENT AND STRATEGIES, S.L.;Smart Protection;705.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de;
65;65;65;MICO GREEN TECHNOLOGY, S.L.;Micocar;181.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87007605
66;66;66;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;22/03/2018;Barcelona;Cataluña;B65118531
67;67;67;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;11/12/2013;Barcelona;Cataluña;B65118531
68;68;68;TROMBOLOTE COMPANY, S.L.;BASICO FOODS;61.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B88414099
69;69;69;PANDA MOTOS, S.L.;PANDA BIKES;67.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B88562459
70;70;70;EARTHFUTURE SOLUTIONS, S.L.;HOBEEN;62.000,00 €;16/12/2020;Araba/Álava;País Vasco;B01579788
71;71;71;DELICIOUS KITCHEN, S.L.U.;Delicious Kitchen Incubator;67.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;
72;72;72;ULTIMATE GAMERS, S.L.;Ultimate Gamers;68.000,00 €;15/12/2020;Barcelona;Cataluña;B67620088
73;73;73;PROFES EN APUROS, S.L.;Dos profes en apuros;63.000,00 €;15/12/2020;Barcelona;Cataluña;B67597468
74;74;74;PENTACREDIT MARKETING, S.L.;Pentacredit;50.000,00 €;11/12/2020;Valencia/València;Comunitat Valenciana;B40608846
75;75;75;SINGULARITY BIOMED, S.L.;Singularity Biomed;51.000,00 €;11/12/2020;Barcelona;Cataluña;B67399923
76;76;76;JACAR ENGLISH, S.L.;Great Little People;67.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88039169
77;77;77;PROTE CORP, S.L.;PROTE;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88470224
78;78;78;PARENTING ONLINE, S.L.;AMA CLINICS;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88596283
79;79;79;INVIERTIS PROPERTIES, S.L.;INVIERTIS;62.000,00 €;10/12/2020;Barcelona;Cataluña;B67357137
80;80;80;NEXT GEN CAPITAL, S.L.;NEXT GEN;45.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de;B88569025
81;81;81;FOOD STORIES, S.L.;FOOD STORIES;67.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de;B88466461
82;82;82;HEDYLA TECHNOLOGIES, S.L.;HEDYLA;33.000,00 €;02/12/2020;Barcelona;Cataluña;B67447458
83;83;83;SYRA COFFEE, S.L.;Syra Coffee;70.000,00 €;30/11/2020;Barcelona;Cataluña;B67406223
84;84;84;LA CAFE ORIGINAL, S.L.;LA CAFE ORIGINAL;64.000,00 €;27/11/2020;Barcelona;Cataluña;B01598515
85;85;85;GLAMPING LA DEHESA, S.L.;Glamping La Dehesa;60.000,00 €;24/11/2020;Córdoba;Andalucía;B56107774
86;86;86;ODISEI MUSIC, S.L.;TRAVEL SAX;32.000,00 €;24/11/2020;Barcelona;Cataluña;B67566026
87;87;87;PORTER DELIVERY & MOVING, S.L.;PORTER;67.000,00 €;19/11/2020;Madrid;Madrid, Comunidad de;
88;88;88;ICOMMUNITY LABS & TECH, S.L.;iCommunity Labs;68.000,00 €;17/11/2020;Madrid;Madrid, Comunidad de;
89;89;89;COMOVITA EUROPE, S.L.;Comovita;48.000,00 €;16/11/2020;Barcelona;Cataluña;B67589150
