;Razón Social;Marca;Importe;Fecha;Provincia;CCAA;CIF;Axesor URL;Dirección;Constitución;CNAE;SIC
0;LETS COOK, S.L.;Let's cook;50.000,00 €;04/02/2021;Barcelona;Cataluña;B67476051;https://www.axesor.es/Informes-Empresas/9801620/LETS_COOK_SL.html;PASEO SANT JOAN, 93 1 PTA.2.  08009, BARCELONA, BARCELONA    ; 1 año, 8 meses y 4 dias; 4617  Intermediarios del comercio de productos alimenticios, bebidas y tabaco; 5149 COMESTIBLES Y PRODUCTOS RELACIONADOS SC
1;MEEP MOBILITY, S.L.;gomeep;68.000,00 €;04/02/2021;Barcelona;Cataluña;B67428623;https://www.axesor.es/Informes-Empresas/9653083/MEEP_MOBILITY_SL.html;CALLE RAMON TURRO, 295.  08019, BARCELONA, BARCELONA    ; 1 año, 10 meses y 23 dias; 7711  Alquiler de automóviles y vehículos de motor ligeros; 7512 Alquiler de automóviles de turismo sin conductor
2;BYTELAB SOLUTIONS, S.L.;NEXTMOL;44.000,00 €;04/02/2021;Barcelona;Cataluña;B67405589;https://www.axesor.es/Informes-Empresas/9647199/BYTELAB_SOLUTIONS_SL.html;CALLE ROC BORONAT, 117 2.  08018, BARCELONA, BARCELONA    ; 1 año, 11 meses y 30 dias; 6201  Actividades de programación informática; 7372 Programación de ordenadores y software
3;THE NEEDO, S.L.;THE NEEDO;33.000,00 €;25/01/2021;Madrid;Madrid, Comunidad de;B81363475;https://www.axesor.es/Informes-Empresas/901161/VADILLO_CONSULTORIA_Y_GESTORIA_ADMINISTRATIVA_SOCIEDAD_LIMITADA_PROFESIONAL.html;PL. CERVANTES, 25 1º.  28801, ALCALA DE HENARES, MADRID    ; 25 años, 2 meses y 9 dias; 6920  Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal; 7392 ASESORÍA Y RELACIONES PÚBLICAS DE EMPRESAS
4;INHIBITEC ANTICUERPOS, S.L.;INHIBITEC;65.000,00 €;22/01/2021;Cantabria;Cantabria;B39875489;https://www.axesor.es/Informes-Empresas/9839258/INHIBITEC_ANTICUERPOS_SOCIEDAD_LIMITADA.html;PLAZA VELARDE, 5 CLUB CAMARA DE COMERCIO.  39001, SANTANDER, CANTABRIA    ; 2 años y 23 dias; 7211  Investigación y desarrollo experimental en biotecnología;
5;VIRTUAL WEB AGROFRAME, S.L.;ENCANTADO DE COMERTE;67.000,00 €;22/01/2021;Zaragoza;Aragón;B99537706;https://www.axesor.es/Informes-Empresas/9613637/VIRTUAL_WEB_AGROFRAME_SOCIEDAD_LIMITADA.html;CALLE PAMPLONA ESCUDERO, 18 1º A.  50005, ZARAGOZA, ZARAGOZA   ; 2 años, 2 meses y 20 dias; 4617  Intermediarios del comercio de productos alimenticios, bebidas y tabaco; 5149 COMESTIBLES Y PRODUCTOS RELACIONADOS SC
6;THE WAKE UP MOVEMENT, S.L.;The Wum;68.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de;B88511373;https://www.axesor.es/Informes-Empresas/9850497/THE_WAKE_UP_MOVEMENT_SL.html;CALLE PRINCIPE DE VERGARA, 211 PISO 6 º PUERTA C.  28002, MADRID, MADRID    ; 1 año, 4 meses y 30 dias; 7311  Agencias de publicidad; 5999 DETALLISTAS DIVERSOS SC
7;HERIS MEDTECH, S.L.;Heris;67.000,00 €;14/01/2021;Madrid;Madrid, Comunidad de;B88583406;https://www.axesor.es/Informes-Empresas/9878167/HERIS_MEDTECH_SL.html;PLAZA REYES MAGOS, 8 , 6 ºB.  28007, MADRID, MADRID    ; 1 año, 1 mes y 28 dias; 6202  Actividades de consultoría informática; 7379 Servicios relacionados con computación SC
8;HINSOMNIA GLOBAL, S.L.;Hinsomnia;68.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B88531736;https://www.axesor.es/Informes-Empresas/9852813/HINSOMNIA_GLOBAL_SL.html;PASEO SAN FRANCISCO DE SALES, 41 0 2.  28003, MADRID, MADRID    ; 1 año, 4 meses y 6 dias; 4751  Comercio al por menor de textiles en establecimientos especializados; 2299 Productos textiles sc
9;CULTIPLY, S.L.;CULTIPLY;40.000,00 €;21/12/2020;Sevilla;Andalucía;B90486010;https://www.axesor.es/Informes-Empresas/9889772/CULTIPLY_SOCIEDAD_LIMITADA.html;CALLE CARRETERA BETICA, 163 NAVE C,.  41300, RINCONADA (LA), SEVILLA   ; 11 meses y 8 dias; 7211  Investigación y desarrollo experimental en biotecnología;
10;TWENIX PLATFORM, S.L.;Twenix;225.000,00 €;04/02/2021;Almería;Andalucía;B04890869;;;;;
11;ETHICAL PIECES, S.L.;Mimoke;75.000,00 €;04/02/2021;Barcelona;Cataluña;B67372938;;;;;
12;DAIL SOFTWARE, S.L.;DAIL;100.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B86642030;;;;;
13;DAIL SOFTWARE, S.L.;DAIL;100.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B86642030;;;;;
14;DAIL SOFTWARE, S.L.;DAIL;100.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B86642030;;;;;
15;COPY PRINT SERVICIOS DE REPROGRAFIA, S.L.;Copy Print;207.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B82072828;;;;;
16;COMUNICACIONES GOLBER, S.L.;Noysi;225.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B87286209;;;;;
17;COMUNICACIONES GOLBER, S.L.;Noysi;225.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B87286209;;;;;
18;PENINSULA CORPORATE INNOVATION, S.L.U.;Peninsula;204.000,00 €;03/02/2021;Barcelona;Cataluña;;;;;;
19;CODED PEOPLE, S.L.;Coded People;110.000,00 €;03/02/2021;Barcelona;Cataluña;B67147975;;;;;
20;CODED PEOPLE, S.L.;Coded People;110.000,00 €;03/02/2021;Barcelona;Cataluña;B67147975;;;;;
21;BARNIZADOS INDUSTRIALES, S.A.;BARINSA;300.000,00 €;01/02/2021;Tarragona;Cataluña;A43098383;;;;;
22;MY STAGE MANAGER, S.L.;My Stage Manager;45.000,00 €;28/01/2021;Barcelona;Cataluña;B67487249;;;;;
23;WIN LIFE ELECTRIC VEHICLES, S.L.;Win Life;210.000,00 €;28/01/2021;Barcelona;Cataluña;B67486639;;;;;
